Date,Location,Temperature,Humidity,Wind_Speed,Rainfall,Pressure
2024-04-01,Jharsuguda,39.8,41.0,20.0,0.0,981.8
2024-04-02,Jharsuguda,39.4,34.0,15.6,0.0,980.7
2024-04-03,Jharsuguda,40.0,30.0,14.9,0.0,982.3
2024-04-04,Jharsuguda,40.9,35.0,19.4,0.0,981.8
2024-04-05,Jharsuguda,41.2,31.0,17.4,0.0,981.0
2024-04-06,Jharsuguda,41.4,26.0,19.1,0.0,980.8
2024-04-07,Jharsuguda,39.5,30.0,28.4,0.0,982.4
2024-04-08,Jharsuguda,28.8,67.0,13.2,4.6,987.3
2024-04-09,Jharsuguda,34.0,63.0,23.2,5.0,986.8
2024-04-10,Jharsuguda,33.3,60.0,9.3,0.8,985.8
2024-04-11,Jharsuguda,27.5,76.0,22.3,5.3,987.8
2024-04-12,Jharsuguda,29.7,79.0,15.9,0.0,987.0
2024-04-13,Jharsuguda,34.5,64.0,15.9,0.1,985.8
2024-04-14,Jharsuguda,36.4,56.0,14.1,0.0,985.6
2024-04-15,Jharsuguda,38.6,47.0,19.6,0.0,984.8
2024-04-16,Jharsuguda,39.7,43.0,12.1,0.1,983.1
2024-04-17,Jharsuguda,41.5,39.0,25.2,0.0,981.3
2024-04-18,Jharsuguda,41.8,27.0,15.8,0.0,981.0
2024-04-19,Jharsuguda,42.5,28.0,12.7,0.0,978.8
2024-04-20,Jharsuguda,42.8,26.0,17.5,0.0,978.3
2024-04-21,Jharsuguda,42.9,30.0,15.9,0.0,979.6
2024-04-22,Jharsuguda,36.6,42.0,30.6,1.1,982.7
2024-04-23,Jharsuguda,40.1,39.0,22.8,0.0,981.5
2024-04-24,Jharsuguda,41.7,33.0,16.5,0.0,980.4
2024-04-25,Jharsuguda,41.9,35.0,15.1,0.0,980.5
2024-04-26,Jharsuguda,42.2,31.0,15.0,0.0,979.9
2024-04-27,Jharsuguda,42.7,26.0,19.3,0.0,980.4
2024-04-28,Jharsuguda,42.0,32.0,23.0,0.0,981.6
2024-04-29,Jharsuguda,42.5,37.0,19.8,0.0,981.7
2024-04-30,Jharsuguda,43.3,35.0,22.9,0.0,978.3
2024-05-01,Jharsuguda,42.2,29.0,25.9,0.0,976.2
2024-05-02,Jharsuguda,42.8,19.0,19.8,0.0,977.0
2024-05-03,Jharsuguda,41.9,18.0,12.3,0.0,979.8
2024-05-04,Jharsuguda,41.9,18.0,18.2,0.0,979.8
2024-05-05,Jharsuguda,42.5,17.0,15.7,0.0,977.2
2024-05-06,Jharsuguda,42.2,30.0,25.5,0.0,977.9
2024-05-07,Jharsuguda,38.4,44.0,16.5,1.0,981.9
2024-05-08,Jharsuguda,37.5,49.0,15.2,0.0,982.6
2024-05-09,Jharsuguda,38.2,56.0,16.3,0.2,981.5
2024-05-10,Jharsuguda,39.8,51.0,31.4,0.1,981.6
2024-05-11,Jharsuguda,41.2,47.0,23.0,0.0,982.0
2024-05-12,Jharsuguda,40.7,47.0,17.3,0.0,982.6
2024-05-13,Jharsuguda,40.5,53.0,27.0,1.7,983.0
2024-05-14,Jharsuguda,40.3,47.0,15.6,0.0,982.9
2024-05-15,Jharsuguda,39.5,52.0,16.5,0.3,984.0
2024-05-16,Jharsuguda,38.0,50.0,10.7,0.1,983.7
2024-05-17,Jharsuguda,36.7,54.0,17.1,0.0,982.4
2024-05-18,Jharsuguda,35.7,60.0,15.8,0.3,981.2
2024-05-19,Jharsuguda,37.7,61.0,15.6,0.0,978.6
2024-05-20,Jharsuguda,40.2,51.0,17.9,0.0,978.0
2024-05-21,Jharsuguda,41.9,51.0,23.4,0.0,978.1
2024-05-22,Jharsuguda,39.5,52.0,16.2,0.5,978.0
2024-05-23,Jharsuguda,40.5,57.0,25.3,2.5,976.8
2024-05-24,Jharsuguda,39.2,52.0,17.9,0.0,975.8
2024-05-25,Jharsuguda,40.4,52.0,15.2,0.8,974.3
2024-05-26,Jharsuguda,41.6,50.0,19.7,0.0,971.8
2024-05-27,Jharsuguda,42.6,49.0,14.4,0.0,970.8
2024-05-28,Jharsuguda,46.2,38.0,21.8,0.0,970.7
2024-05-29,Jharsuguda,45.9,32.0,22.7,0.0,972.2
2024-05-30,Jharsuguda,44.6,35.0,24.1,0.1,974.2
2024-05-31,Jharsuguda,44.2,44.0,18.2,0.6,976.0
2024-06-01,Jharsuguda,43.0,49.0,20.8,0.0,977.4
2024-06-02,Jharsuguda,40.7,61.0,30.4,6.1,979.0
2024-06-03,Jharsuguda,40.8,53.0,16.6,0.0,978.9
2024-06-04,Jharsuguda,38.8,55.0,17.2,0.0,978.8
2024-06-05,Jharsuguda,38.5,58.0,18.0,0.0,979.2
2024-06-06,Jharsuguda,39.9,68.0,28.5,13.7,979.7
2024-06-07,Jharsuguda,39.9,57.0,16.8,0.1,978.4
2024-06-08,Jharsuguda,40.3,57.0,15.3,2.3,977.4
2024-06-09,Jharsuguda,39.8,60.0,12.5,0.3,976.7
2024-06-10,Jharsuguda,40.2,52.0,16.4,0.1,976.8
2024-06-11,Jharsuguda,42.3,48.0,14.7,0.0,975.9
2024-06-12,Jharsuguda,42.0,46.0,14.3,0.0,976.3
2024-06-13,Jharsuguda,42.3,50.0,15.8,2.9,976.0
2024-06-14,Jharsuguda,39.9,48.0,19.8,0.1,975.9
2024-06-15,Jharsuguda,41.4,52.0,18.0,2.9,975.5
2024-06-16,Jharsuguda,37.5,63.0,15.1,0.0,977.5
2024-06-17,Jharsuguda,37.4,61.0,20.5,1.1,977.4
2024-06-18,Jharsuguda,38.2,60.0,16.1,7.7,975.9
2024-06-19,Jharsuguda,36.8,65.0,17.8,8.4,974.9
2024-06-20,Jharsuguda,35.7,74.0,15.5,12.0,975.8
2024-06-21,Jharsuguda,30.0,86.0,13.1,32.1,976.4
2024-06-22,Jharsuguda,32.6,82.0,8.2,15.4,975.1
2024-06-23,Jharsuguda,32.5,79.0,8.5,3.1,975.3
2024-06-24,Jharsuguda,34.1,74.0,12.5,9.0,975.1
2024-06-25,Jharsuguda,33.2,77.0,11.0,7.4,974.7
2024-06-26,Jharsuguda,33.1,81.0,14.3,18.8,975.0
2024-06-27,Jharsuguda,33.7,83.0,12.6,1.6,975.8
2024-06-28,Jharsuguda,33.3,84.0,10.6,15.3,975.1
2024-06-29,Jharsuguda,31.1,87.0,14.5,37.8,975.5
2024-06-30,Jharsuguda,29.5,91.0,17.1,33.1,976.5
2024-04-01,Sambalpur,38.7,49.0,11.8,0.0,988.9
2024-04-02,Sambalpur,37.7,45.0,11.8,0.0,987.7
2024-04-03,Sambalpur,38.4,42.0,11.3,0.0,989.1
2024-04-04,Sambalpur,40.4,44.0,13.5,0.0,988.7
2024-04-05,Sambalpur,39.8,41.0,13.3,0.0,987.8
2024-04-06,Sambalpur,39.8,37.0,11.3,0.0,987.5
2024-04-07,Sambalpur,39.3,34.0,19.3,0.0,989.0
2024-04-08,Sambalpur,27.6,76.0,13.6,10.9,994.4
2024-04-09,Sambalpur,32.4,71.0,10.9,2.7,994.0
2024-04-10,Sambalpur,35.0,59.0,11.6,0.0,992.8
2024-04-11,Sambalpur,27.0,80.0,18.0,14.8,995.1
2024-04-12,Sambalpur,28.3,80.0,14.7,1.4,994.2
2024-04-13,Sambalpur,34.1,68.0,19.4,0.0,993.0
2024-04-14,Sambalpur,35.3,63.0,9.5,0.0,992.7
2024-04-15,Sambalpur,37.6,53.0,11.5,0.0,991.9
2024-04-16,Sambalpur,38.1,53.0,10.9,0.0,990.1
2024-04-17,Sambalpur,39.2,46.0,16.9,0.0,988.4
2024-04-18,Sambalpur,40.1,41.0,13.9,0.0,987.9
